epoch,train_loss,train_top1,eval_loss,eval_top1,eval_top5,eval_fold
0,1.338836981700017,0.38341346153846156,1.413884189150749,23.39449562282737,100.0,0
1,1.2669325608473558,0.453125,1.4124451197615457,23.39449562282737,100.0,0
2,1.1726052485979521,0.5396634615384616,1.410460109010749,23.39449562282737,100.0,0
3,1.0917549958595862,0.5865384615384616,1.4081960610293467,23.39449562282737,100.0,0
4,1.0808861805842473,0.6033653846153846,1.4057578985844184,23.853211219157647,100.0,0
5,1.088766859127925,0.6009615384615384,1.4034086750188004,24.311926815487922,100.0,0
6,1.0662915477385888,0.5997596153846154,1.4009972307660163,24.770642411818198,100.0,0
7,1.0672967296380262,0.5913461538461539,1.398575422960684,24.770642411818198,100.0,0
8,1.0740461120238671,0.5973557692307693,1.396106529673305,25.68807360447875,100.0,0
9,1.072926104068756,0.6274038461538461,1.3937069976001704,25.68807360447875,100.0,0
