epoch,train_loss,train_top1,eval_loss,eval_top1,eval_top5,eval_fold
0,1.3354712816385121,0.36899038461538464,1.4138386971359953,23.39449562282737,100.0,0
1,1.2666062208322377,0.4831730769230769,1.4124328083948259,23.39449562282737,100.0,0
2,1.1728957066169152,0.5432692307692307,1.4105277608294007,23.39449562282737,100.0,0
3,1.0907368201475878,0.6045673076923077,1.4083230987601323,23.853211219157647,100.0,0
4,1.0888741474885206,0.6069711538461539,1.4059033492289552,23.853211219157647,100.0,0
5,1.0960563788047204,0.6189903846153846,1.4035992917664555,24.311926815487922,100.0,0
6,1.070337332212008,0.6081730769230769,1.401228353517865,24.770642411818198,100.0,0
7,1.082608699798584,0.5865384615384616,1.3988881089271756,25.229358008148473,100.0,0
8,1.0784898537855883,0.6033653846153846,1.3965195504897232,25.68807360447875,100.0,0
9,1.0813380021315355,0.6045673076923077,1.3941372840776356,25.68807360447875,100.0,0
